dataset,column_name,data_type,column_role,nullable,nunique,null_count,null_pct,notes
articles_all,pmid,int64,primary_identifier,False,49734,0,0.0,
articles_all,pub_year,int64,temporal,False,7,0,0.0,
articles_all,journal,str,categorical,False,3711,0,0.0,
articles_all,article_title,str,free_text,False,49632,0,0.0,
articles_all,doi,str,identifier_optional,True,49495,226,0.00452045204520452,
articles_all,publication_types,str,categorical,False,583,0,0.0,
articles_all,abstract,str,free_text,True,44735,4983,0.09966996699669967,
articles_all,xml_source_file,str,governance,False,100,0,0.0,
articles_all,extraction_date,str,governance,False,1,0,0.0,
articles_all,strategy_id,str,governance,False,1,0,0.0,
articles_all,source,str,governance,False,1,0,0.0,
author_occurrences_all,pmid,int64,primary_identifier,False,49734,0,0.0,
author_occurrences_all,pub_year,int64,temporal,False,7,0,0.0,
author_occurrences_all,journal,str,categorical,False,3711,0,0.0,
author_occurrences_all,article_title,str,free_text,False,49632,0,0.0,
author_occurrences_all,doi,str,identifier_optional,True,49495,1415,0.003277329219879839,
author_occurrences_all,author_position,int64,ordinal,False,697,0,0.0,
author_occurrences_all,author_role,str,categorical,False,3,0,0.0,
author_occurrences_all,author_name_raw,str,free_text,False,263357,0,0.0,
author_occurrences_all,orcid,str,identifier_optional,True,77900,300604,0.696239062058487,
author_occurrences_all,affiliation_raw,str,free_text,True,237332,3616,0.00837513954705689,
author_occurrences_all,xml_source_file,str,governance,False,100,0,0.0,
author_occurrences_all,extraction_date,str,governance,False,1,0,0.0,
author_occurrences_all,strategy_id,str,governance,False,1,0,0.0,
author_occurrences_all,source,str,governance,False,1,0,0.0,
